,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
65,DDB2,3.3500159097262e-07,0.788032499147487,1.40529121928349,0.170773779011485,7.15924169261641e-05
66,CARM1,3.43957474605021e-07,0.578932918738442,1.29800223104126,-0.140136393564379,7.2392625450581e-05
67,TAOK1,3.94077188336051e-07,0.431471577828146,1.48954351873956,-0.626600363083268,8.17033764653148e-05
68,SCNN1A,4.25172257443988e-07,1.40243571413059,2.36393281636679,0.440938611894386,8.685393864933e-05
69,VPS16,4.44346006134557e-07,0.474697634936941,1.11343816566248,-0.164042895788596,8.81772910173591e-05
70,YIPF5,4.40447913335296e-07,0.418569158322716,1.432296592229,-0.595158275583573,8.81772910173591e-05
71,SLC9A1,4.77430648111847e-07,0.548060429840781,1.18188759787615,-0.0857667381945841,9.34082976467841e-05
72,PKD1L3,5.11729485768903e-07,0.500010553036124,1.48043836108841,-0.480417255016163,9.75337410257377e-05
73,RAB33B,5.15905377787522e-07,0.296067028956664,0.918037214964347,-0.325903157051019,9.75337410257377e-05
74,WDR78,5.19580795904153e-07,0.326276814262574,0.972897113337053,-0.320343484811904,9.75337410257377e-05
75,TSPAN15,5.57310414319508e-07,0.291282483032798,0.896671390808284,-0.314106424742688,0.000103221319537497
76,TOR2A,6.06242845618684e-07,0.319904649257011,0.991619825728266,-0.351810527214243,0.00011080683379591
77,ACACB,6.48129033501179e-07,0.313963614201155,0.958998677316213,-0.331071448913904,0.000116924161095648
78,AP4E1,6.87816306861641e-07,0.271340186932816,0.815082300654429,-0.272401926788798,0.000122493029725834
79,CYB561D2,7.287318706697e-07,0.348925368665205,1.09695565583278,-0.399104918502371,0.00012657457223086
80,NRXN1,7.28958734322137e-07,0.995767420640375,1.45417805847211,0.537356782808639,0.00012657457223086
81,PRKAG2,7.68170224417254e-07,0.797516479652586,1.25282343362948,0.342209525675698,0.00013173645169605
82,DOPEY1,7.786290463508e-07,0.326054220818723,0.981158787838114,-0.329050346200667,0.00013190165954706
83,TRO,8.00371372246486e-07,0.607490997444936,1.32566933112232,-0.110687336232449,0.000133951310022602
84,RP11-347I19.7,8.59091538443455e-07,0.57896428311933,1.2884500491026,-0.130521482863941,0.000142067149529977
85,SCAPER,8.85281416310448e-07,0.705758266421948,1.21502247735217,0.196494055491726,0.000144675813576099
86,KCNC4,1.00702940617874e-06,0.328460158423751,0.98478828672277,-0.327867969875269,0.000159467356297463
87,PASK,1.01023161429535e-06,0.329984387185698,0.989287953087618,-0.329319178716222,0.000159467356297463
88,TUBB3,9.99913235505689e-07,0.665297598526667,1.13166586331377,0.198929333739561,0.000159467356297463
89,ZNF16,1.02635551083826e-06,0.346993276889986,1.05675957081752,-0.362773017037549,0.000160192184281508
90,AARSD1,1.08447254866216e-06,0.271669706546864,0.818947613687209,-0.275608200593481,0.000167382313038513
91,GTF3C4,1.10832980393772e-06,0.904449406453486,1.60614751839714,0.202751294509832,0.000169184717653834
92,YTHDC2,1.12989350759618e-06,0.501732917197667,1.10931715176188,-0.105851317366544,0.000170601638195854
93,CCDC80,1.26204240509425e-06,0.315076576639282,0.945868790295806,-0.315715637017241,0.000182879859565296
94,DIP2C,1.26387348054628e-06,0.465535285678461,1.01053994374113,-0.0794693723842085,0.000182879859565296
