,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
9915,ATXN1L,0.114341111483695,0.0241967757665678,0.0535100021586053,-0.00511645062546964,0.179393881012643
9916,CASC9,0.114379603771492,NA,NA,NA,0.179436175501142
9917,CDKL3,0.114454200201936,0.0144612233236336,0.0368383855907104,-0.0079159389434433,0.179535095123658
9918,RAD1,0.114489978546858,0.0319537225811709,0.0868918180279112,-0.0229843728655694,0.179573110130563
9919,ZBTB49,0.114531478429604,0.0136789746485784,0.0293591256791536,-0.00200117638199686,0.179620090578781
9920,C5AR1,0.114641195097835,0.00722085094107522,0.0164104545167782,-0.00196875263462775,0.179774035377209
9921,PLEKHA2,0.114714855291492,0.00613314808967346,0.0178642429456357,-0.00559794676628879,0.179871413054576
9922,SLC9A7,0.11497123887848,0.0170699966411989,0.0441152891678284,-0.00997529588543069,0.180255250150537
9923,SMARCA5,0.11499790837113,0.052611644875691,0.106065803302736,-0.000842513551354125,0.180278893743958
9924,STAMBP,0.115062085033578,-0.0060286539032921,0.0415671592794341,-0.0536244670860183,0.180361325552432
9925,RP11-173M1.4,0.115174365155666,NA,NA,NA,0.180519135955823
9926,PTPRT,0.115205720277606,NA,NA,NA,0.180550089123356
9927,MOV10,0.115283327793092,0.0231549809547433,0.0568018563606599,-0.0104918944511734,0.180653515377188
9928,ITGAV,0.115380612690402,0.00582660288027859,0.0317748516483767,-0.0201216458878195,0.180787752922229
9929,CYP2J2,0.115464727051172,0.000972708473125189,0.010432233816015,-0.00848681686976457,0.180901328835535
9930,CCDC181,0.115511205840445,0.0238988326318992,0.0718614211535889,-0.0240637558897905,0.180955923268274
9931,PHOSPHO2,0.115613801636489,0.00256327479656632,0.0208277780940343,-0.0157012285009016,0.181098408846765
9932,PAX8,0.115627525041474,-0.00736483239654,0.00139486665652627,-0.0161245314496063,0.181100564056731
9933,RP11-561B11.6,0.115638461222391,-0.00411799425038815,0.000993024195642983,-0.00922901269641928,0.181100564056731
9934,DNMBP,0.115685461000586,0.0113804560445948,0.0340971573568886,-0.011336245267699,0.181155932285596
9935,LIPT2,0.115725766362173,-0.000504063002427783,0.00950846648842675,-0.0105165924932823,0.181200807401104
9936,RGPD5,0.1158143115045,0.00223417000271814,0.0384729018266881,-0.0340045618212518,0.181321198647745
9937,H2AFY,0.116028270089499,-0.0181356177923282,0.0362786638295746,-0.072549899414231,0.181637895694097
9938,SNX16,0.116042162832332,0.0190565286893321,0.0400423351733384,-0.00192927779467411,0.181641364964756
9939,GSDMD,0.116101154398591,-0.00584870171415686,0.0100665618172904,-0.0217639652456041,0.181715419843493
9940,CAND2,0.116208609333224,0.000671775845568365,0.0166045616418578,-0.015261009950721,0.181847010037988
9941,ELAVL4,0.116199686125471,0.021137351087966,0.0526132331947217,-0.0103385310187896,0.181847010037988
9942,FARS2,0.116468010506409,-0.0229052405860937,0.00137028713764497,-0.0471807683098324,0.182234597811074
9943,PLXNA2,0.116544333229729,-0.000850354398852143,0.0131046599697192,-0.0148053687674235,0.18233567813755
9944,LINC00598,0.116628641566746,0.00144739896437428,0.00929715853835757,-0.00640236060960901,0.182449230512098
9945,CCDC85B,0.116731253506728,0.00368248510746372,0.0626058071116589,-0.0552408368967315,0.182573032329647
9946,PARP11,0.116726587281462,0.0204172908846378,0.0476970843844089,-0.00686250261513323,0.182573032329647
9947,HOXB3,0.116744081909725,-0.00721003316001944,-0.000548708603710666,-0.0138713577163282,0.182574739940453
9948,MYH7B,0.116830241078629,0.00698982597261218,0.0160702501472064,-0.00209059820198209,0.182691116829429
9949,PRSS12,0.116975806839306,0.0177530171047281,0.0389395396949843,-0.00343350548552798,0.182900356939617
9950,ELMO3,0.117006108275235,0.0109040321540305,0.0234102714780266,-0.0016022071699656,0.18292934877684
9951,ITGA4,0.117035768551344,-0.00482083676311515,0.00211996097385531,-0.0117616345000856,0.182957332487661
9952,ZNF613,0.117162768439785,0.00700249884259998,0.0233391980657301,-0.00933420038053019,0.183137462404471
9953,PCDH11Y,0.117372372663978,0.0127083489360789,0.0274980290787028,-0.00208133120654508,0.183446662228558
9954,RCN3,0.117502633337396,0.0105349204052662,0.0335070033487406,-0.0124371625382082,0.183631802712129
9955,ATP1A3,0.117559661247768,0.00179419086971228,0.0438802584402726,-0.0402918767008481,0.183702470152716
9956,KLHL32,0.117594047680264,-0.0291647689582775,-0.00289482699808111,-0.0554347109184738,0.183737746656709
9957,LINC00092,0.117766735942336,NA,NA,NA,0.183989087508183
9958,RASSF5,0.117969761740581,0.00815177604245449,0.0218984253301775,-0.00559487324526854,0.184287769997638
9959,GRAMD4,0.117988551195226,0.00798407116480757,0.0289846201507232,-0.0130164778211081,0.184298614558986
9960,RP11-1017G21.5,0.118010015109698,0.0128734329420742,0.0338155900365304,-0.00806872415238204,0.184313634040809
9961,RP11-328K4.1,0.118122709177954,NA,NA,NA,0.184457651988623
9962,ZNF780B,0.118125940415959,0.0119286891543204,0.0356335268015116,-0.0117761484928709,0.184457651988623
9963,SUDS3,0.118147938418829,0.0237398853177613,0.0776138315461102,-0.0301340609105875,0.184473484898455
9964,IL22RA1,0.118292938200586,NA,NA,NA,0.184681347515888
9965,GS1-124K5.3,0.118330639636639,0.00950684041123961,0.0229642315170971,-0.00395055069461789,0.184721668859765
9966,NEK3,0.11835985261972,-0.00438054635594148,0.0175779793114489,-0.0263390720233318,0.184748732425483
9967,CCL5,0.118564094747037,0.0115925638721916,0.0264125189169876,-0.00322739117260428,0.185011842500242
9968,SYT14,0.118563809103951,0.0227469990787012,0.0489133502415772,-0.0034193520841748,0.185011842500242
9969,UBR3,0.118541387427885,0.0115445243134125,0.0462347335977505,-0.0231456849709256,0.185011842500242
9970,ZNF599,0.118630016465946,-0.0137721510176367,-0.00199863698621808,-0.0255456650490553,0.185096142040548
9971,ZNF684,0.118884485255037,0.0153720793234368,0.0350286847414221,-0.00428452609454842,0.185474581549229
