,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
9920,GPR160,0.552170558477077,0.00856618300972506,0.0284899848275457,-0.0113576188080955,0.750698164775609
9921,RP11-166O4.6,0.552141284446027,-0.0132994477111738,0.0104161717824509,-0.0370150672047985,0.750698164775609
9922,CEP83-AS1,0.552241656460653,0.004246679338768,0.0245279812985898,-0.0160346226210538,0.750719155648185
9923,FAM13A,0.552470297089265,-0.0110063345118534,0.00759028168804374,-0.0296029507117505,0.750954284706239
9924,B3GNT2,0.552727617647649,-0.0166650882017001,0.0151084681304935,-0.0484386445338938,0.751228346113613
9925,R3HDM1,0.5533408539068,0.0197882547621876,0.0767880532918861,-0.0372115437675109,0.75191027982016
9926,RDH10,0.553285218748379,-0.00785359608598787,0.00536383822505089,-0.0210710303970266,0.75191027982016
9927,MARVELD1,0.553496858647001,0.00508946111279488,0.0278748830702526,-0.0176959608446628,0.751999223579495
9928,ZNF823,0.553517815220731,0.00150420673092231,0.0306853334033096,-0.027676919941465,0.751999223579495
9929,SLC17A5,0.553615943122451,0.00882717021997954,0.0507208178426335,-0.0330664774026744,0.752056787273202
9930,MED26,0.55367494586756,0.0297075307149047,0.0894842331219016,-0.0300691716920922,0.752061195353641
9931,TMLHE,0.553776495491615,-0.00200788539936673,0.03526337925442,-0.0392791500531535,0.752123388499738
9932,PLEKHH3,0.554149711057491,0.00479318483612112,0.0864808362625283,-0.076894466590286,0.75255450088033
9933,CRIP3,0.554517354342197,-0.0159677752096366,0.0102871208681301,-0.0422226712874032,0.752599122093736
9934,HMGCR,0.554387963592299,-0.0100106062974986,0.03210867753754,-0.0521298901325372,0.752599122093736
9935,LRRC8A,0.554287872377751,-0.0318711445434485,0.0238603497236064,-0.0876026388105033,0.752599122093736
9936,PPP1R3B,0.554474427168364,0.00538407184541538,0.0285652540415117,-0.0177971103506809,0.752599122093736
9937,RANBP10,0.55430932519399,-0.00933329494626687,0.00493481628630611,-0.0236014061788399,0.752599122093736
9938,TAF4,0.554507850178681,0.0129329705482286,0.0404291532001432,-0.014563212103686,0.752599122093736
9939,AHCYL2,0.554649158845561,0.00350878827102904,0.0243574226909133,-0.0173398461488553,0.752681078270116
9940,RP11-553A10.1,0.554689347420296,0.005163826720332,0.017948877368259,-0.00762122392759497,0.752681078270116
9941,SC5D,0.554830951704306,0.0399023651771616,0.120751882627196,-0.0409471522728727,0.752797492866681
9942,WDPCP,0.554954928918922,-0.00928692262015995,0.00524053942941098,-0.0238143846697309,0.752889969951561
9943,TLE1,0.555085016152717,-0.0132647832935156,0.00819615139479292,-0.0347257179818242,0.75299071687296
9944,DUS2,0.55516887157914,-0.00963894542867869,0.00532547655559022,-0.0246033674129476,0.753028734901392
9945,MGRN1,0.555403518325855,-0.0223035590917854,0.0250174349592594,-0.0696245531428301,0.753067483726995
9946,RPP14,0.555420768691885,0.00813180110533502,0.0391579781202519,-0.0228943759095818,0.753067483726995
9947,TNRC6C,0.555336807081149,-0.00204254411442277,0.0284364462778576,-0.0325215345067032,0.753067483726995
9948,TSC22D2,0.555399350556188,-0.0161785360698574,0.0105682204533847,-0.0429252925930996,0.753067483726995
9949,CHMP1A,0.555512348660263,0.0277367312162802,0.0926416625366369,-0.0371682001040765,0.753115947203701
9950,TRIM54,0.555573552493822,-0.00758143024391768,0.00544248695421677,-0.0206053474420521,0.753123223722278
9951,TRIM23,0.555638179512255,-0.00331123302234981,0.0152380166182327,-0.0218604826629323,0.753135138705789
9952,PPP1R36,0.555946128773233,0.00810761637228323,0.028573206772978,-0.0123579740284115,0.753476827260185
9953,C18ORF25,0.55624952496278,-0.0150343503891178,0.019709193767987,-0.0497778945462226,0.753553228391846
9954,CNTFR,0.556153022242931,-0.0057174672924681,0.0206830349876729,-0.0321179695726091,0.753553228391846
9955,LZTS1,0.556085696621752,-0.0191642128564986,0.0124362541960563,-0.0507646799090535,0.753553228391846
