logFC	AveExpr	t	P.Value	adj.P.Val
KCTD11	5.67774156732643	2.91756523209877	3.78004304825135	0.000306109309028008	0.00569773564381514
MCCC2	21.7901684438129	16.9495264505078	3.77779302324728	0.000308451353205947	0.00573541625348443
HMBOX1	50.4770486641931	26.0572129459441	3.77664425177761	0.000309653690577383	0.00575184915985047
NOTCH3	44.3847732307866	15.0689281355668	3.7699031011909	0.000316799800921054	0.00587854101298009
RBM43	5.55739288666966	3.55537718395062	3.76830455360512	0.000318517313583123	0.00589941013899834
LTBP1	29.1917363011913	11.226274447267	3.7682482677364	0.000318577949904369	0.00589941013899834
CD59	167.237680315593	150.567693691561	3.7675259981087	0.000319357023331943	0.00590590925140368
TMEM45A	29.3578979317645	16.1841579439058	3.76731669582722	0.000319583125927521	0.00590590925140368
LEF1	48.3197341996617	14.7017580358825	3.76446623700652	0.000322677629411227	0.00595699856750481
NCAM2	6.52456165583915	1.5426457532158	3.76341631722656	0.000323824626171691	0.00597206703322765
ADPRH	6.36638554140734	3.10469142451867	3.76161394555759	0.000325802722392522	0.0060024164824459
LGI2	6.41938447195981	2.64490638271605	3.75976646695721	0.000327842283126201	0.00603383529239914
SULT1A4	8.90397346275839	4.47644693021764	3.75588970708458	0.000332161770720136	0.00610710872744609
TRPM4	21.1453334290173	9.00767808121882	3.75213043712062	0.000336402150205384	0.00617878008337559
SPATA6	14.6072697586495	8.0339426031855	3.7487383673346	0.000340272599019186	0.00624351806432054
FIGN	6.24666900026541	1.62371411691358	3.74236756787612	0.000347656917991573	0.00637253365922625
PCAT19	7.38875545400893	2.54914054853891	3.73735067978363	0.000353579205010687	0.00647451576720887
TK2	9.51551560360624	9.29768001919254	3.7330930010219	0.000358680590468385	0.00655668873130636
BACH1-AS1	2.32268256680912	0.767920980246914	3.73299979500131	0.00035879304716315	0.00655668873130636
GRAMD1A	66.5639960258641	48.8747627666706	3.72660244548394	0.000366592521101827	0.00669244486197522
CDK6	24.0893323911711	5.83689845703704	3.72374691139359	0.000370125826095114	0.00675012302035079
OSMR	14.4580675642975	5.96713572716049	3.71769206784972	0.000377725457291477	0.00688176905287349
NRBP1	56.4562009282771	48.5301528775309	3.71539979078554	0.000380641178806818	0.00692789968080352
LRCH1	10.7608727734733	6.39819807713086	3.71462414438362	0.000381632628327163	0.00693894975271594
GGTLC1	8.59646032482804	1.05525400184191	3.71429575943525	0.000382053118520974	0.00693960669506659
ZNF316	27.6602122044819	14.4718330103519	3.71358071577282	0.00038297024458721	0.0069492741367056
ENPP2	72.3991779002022	23.5128027605914	3.71309732898133	0.000383591431663431	0.00695355752879844
RNF150	6.31433922413388	2.14356496019347	3.70845809978896	0.000389602186787932	0.00705543378380753
DAB1	14.7579810720877	2.66914431547304	3.70690695045033	0.000391631847534869	0.00708508317358924
TSC22D4	20.8231397270655	17.2155902777778	3.70543309115678	0.000393569702430037	0.00711301399136568
C3	226.70496772462	70.9972216409967	3.70061978826721	0.000399962121978647	0.00722131611232448
IGSF3	33.72622677717	13.900674258041	3.69731840139528	0.000404403637113226	0.00729421345462468
FBXL22	1.9115516871345	0.982373327160494	3.69619615133026	0.000405924120638601	0.00731433133545902
SPARCL1	328.7102405913	71.3345296051916	3.69306644912323	0.000410193214011424	0.0073838868185207
RAB8B	13.4245672473535	10.2796691943651	3.68695296551665	0.000418655958529776	0.00752733862585188
NAPSA	285.830611760353	44.61308364431	3.68670968492791	0.000418996140624821	0.00752733862585188
PARVB	31.6901087662842	14.9013258925723	3.686109541979	0.000419836452982314	0.00752847389718904
FAM78B	6.80855270261226	1.33843221808447	3.6859962105106	0.000419995318187841	0.00752847389718904
