batch	B cell	CD4+ Tconv	CD4+ Treg	CD8+ Teff	CD8+ Texh	CD8+ Tmem	Mast	Mono/Mφ	NK	Neutrophil	Plasma cell	Tgd	cDC	pDC	"Recurrent
SCLC Cluster"	MHCI	MHCII	SCLC-A	SCLC-N	EMT	axongenesis
RU1181C	0.8310249307479225	20.498614958448755	20.77562326869806	4.43213296398892	2.21606648199446	22.71468144044321	0.2770083102493075	17.72853185595568	8.310249307479225	0.0	0.0	0.0	2.21606648199446	0.0	0.0	0.12950427638014328	-0.06965685560208187	0.009769602394793851	0.9890893947234585	1.172535414147496	0.11002728255138525
RU1195A	0.15760441292356187	22.616233254531124	3.6249014972419227	3.309692671394799	33.8849487785658	9.141055949566587	0.3940110323089046	8.747044917257684	9.771473601260835	7.0133963750985036	0.0	0.0	0.6304176516942475	0.7092198581560284	11.6	-0.46513994494194744	0.07475193850411976	0.7708769445043473	0.22332501403053312	0.28826240618988763	0.03703672738893633
RU1215	0.0	71.16182572614107	0.8298755186721992	0.0	0.2074688796680498	9.12863070539419	0.0	11.825726141078837	4.771784232365145	0.0	1.0373443983402488	0.2074688796680498	0.8298755186721992	0.0	0.535	-0.7255877232487894	-0.14755448310458816	0.02353960651861419	0.9750099848949426	0.530177700320853	0.03800905418231487
RU1229A_Frozen	8.615384615384615	32.0	5.538461538461538	2.4615384615384617	3.076923076923077	28.615384615384613	0.3076923076923077	4.615384615384616	11.076923076923077	0.0	0.0	0.0	2.1538461538461537	1.5384615384615385	0.32	-0.722610319697208	-0.1071662954870056	0.9550059749062636	0.043266041901308595	0.7978928911241184	-0.018547916584565033
RU1231A	32.16783216783217	18.88111888111888	0.6993006993006993	0.0	0.0	7.6923076923076925	0.6993006993006993	28.671328671328673	9.79020979020979	0.0	0.0	0.6993006993006993	0.6993006993006993	0.0	0.02	-0.3942259988851673	-0.1315419081573096	0.02504006110828204	0.9737695532190307	0.6668719429255466	0.066798469875441
RU1293A	7.095343680709535	23.503325942350333	6.651884700665188	2.882483370288248	1.1086474501108647	12.195121951219512	0.4434589800443459	38.13747228381374	4.212860310421286	0.8869179600886918	0.8869179600886918	0.0	1.9955654101995564	0.0	0.035	-0.11020527425409546	-0.012719873222301715	0.015166601475300018	0.9837956550121492	0.3813580215358897	0.017204020338906504
RU1311A_T_1	3.0534351145038165	30.15267175572519	0.38167938931297707	0.38167938931297707	0.38167938931297707	8.396946564885496	0.7633587786259541	45.038167938931295	2.2900763358778624	6.488549618320611	0.0	0.0	2.6717557251908395	0.0	1.379	-0.3302657430482758	-0.061953257475172406	0.8814496651140493	0.09765424395776597	1.016645580428344	-0.022385447868965517
RU1322A_LN	33.33333333333333	22.666666666666664	12.0	1.3333333333333335	0.0	22.666666666666664	0.0	4.0	2.666666666666667	0.0	1.3333333333333335	0.0	0.0	0.0	0.032	-0.13441803189916093	0.0123717178780497	0.003859572236292815	0.0043994943156918055	0.9803556370109543	-0.0788376269754422
RU426B	6.422018348623854	16.972477064220186	8.256880733944955	0.6880733944954129	2.293577981651376	20.18348623853211	1.146788990825688	13.53211009174312	24.31192660550459	4.3577981651376145	0.0	0.0	1.3761467889908259	0.45871559633027525	1.892	-0.2858871444021471	-0.13384434357721986	0.8879809011923779	0.10411760921369197	0.7529822416734804	-0.03639920561507276
RU779D	0.04574565416285453	28.408051235132664	10.521500457456542	0.777676120768527	0.5489478499542544	49.13083257090577	0.0	3.9798719121683437	1.9213174748398902	4.483074107959744	0.04574565416285453	0.0	0.09149130832570906	0.04574565416285453	6.019	-0.32431837431481486	0.18962972624351856	0.29077595210015317	0.6938364083221136	0.8562389079962961	0.05532264929814814
