,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
7155,TGM1,0.402566605255126,-0.00305788402794281,0.000982298533687782,-0.0070980665895734,0.857265740998807
7156,AHCYL1,0.402879458961143,0.0109718499420587,0.0552651108967134,-0.033321411012596,0.857385589787486
7157,ERVK3-1,0.403127528692064,-0.0010425909810913,0.0286060485074362,-0.0306912304696188,0.857673810345271
7158,THTPA,0.403083168014138,0.0117458543877638,0.0329293016222399,-0.00943759284671232,0.857673810345271
7159,DEPTOR,0.403442226947381,0.00465331306086365,0.0177468561694439,-0.00844023004771659,0.857830273990406
7160,DLX2,0.403524731894517,0.00519405201207363,0.0151459364899371,-0.00475783246578981,0.857830273990406
7161,GSK3B,0.403706142509591,-0.0124633137542811,0.0251975591871117,-0.0501241866956738,0.857830273990406
7162,MARVELD1,0.403639014616171,0.0106040856980341,0.0274981012124066,-0.00628992981633838,0.857830273990406
7163,RP11-38M8.1,0.403660109623617,-0.00650933940748412,0.00331204708369935,-0.0163307258986676,0.857830273990406
7164,SFPQ,0.403708029003167,-0.0149561788872994,0.0302424752658251,-0.0601548330404238,0.857830273990406
7165,SKP2,0.4035893882103,0.00619140944601002,0.0256620024281024,-0.0132791835360824,0.857830273990406
7166,STS,0.403258205963126,-0.00442553166902022,0.00233803873211227,-0.0111891020701527,0.857830273990406
7167,TOM1,0.403601581612799,0.0098006930553482,0.0246534940647238,-0.0050521079540274,0.857830273990406
7168,CACNG2,0.403825103593584,-0.00407104862806315,0.00551742183445349,-0.0136595190905798,0.857959333513767
7169,CFAP221,0.404107954393996,-0.00363908290867064,0.00135001597283452,-0.00862818179017579,0.85825933322649
7170,CTB-193M12.5,0.404088546540301,-0.00450098784427138,0.00204988450790372,-0.0110518601964465,0.85825933322649
7171,KRT75,0.404135378459988,0.00181189684575602,0.0063507373705175,-0.00272694367900545,0.85825933322649
7172,MDP1,0.404202091899382,0.00830601398819689,0.0249680650178767,-0.00835603704148288,0.858281324252048
7173,DNASE1L1,0.404443617328505,0.00553937765949376,0.0152667940673511,-0.00418803874836358,0.858554760007779
7174,ZNF487,0.404418441823878,0.0145374220238297,0.0407802331051863,-0.0117053890575268,0.858554760007779
7175,CUL4A,0.404556735779393,-0.0117153132005034,0.0166555359070057,-0.0400861623080124,0.858675195705139
7176,DIRAS2,0.404694007906041,-0.00410374741186498,0.00523027676261107,-0.013437771586341,0.858846857079306
7177,ZCCHC11,0.40476292378407,-0.0311968680716534,0.0163786102504669,-0.0787723463937738,0.858873424314839
